Question,Answer
하고 싶은게 딱히 없는데... 대학을 가야할까요? 바로 취직을 하는게 나을까요?ㅠㅠ,"안넝하세요
경상북도교육청 사이버상담센터 상담위원입니다.
진로에 대한 고민으로 꿈과 장래희망에 대한 고민이 많으시고 걱정이 많이 되시는군요~.또한 대학진학이냐 취업이냐 하는 갈림길에서 고민하는것으로 보이네요.
꿈을 아직 찾지 못했다는 것은 아직 진로에 대한 막연함 때문에 자신의 꿈을 찾지 못하고 있다는 생각이 듭니다.
학교 위클래스나 진로진학상담 선생님을 통해 진로적성검사를 통해 자신의 성격이나 적성에 맞는 분야가 어떤 분야인지 탐색하는 것도 좋은 방법인 것 같습니다.
꿈은 언제나 바뀔 수 있고 전 생애에 걸쳐 변화될 수 있고 바뀔 수 있는 부분입니다. 또한 이러한 꿈은 여러방법과 여러 과정을 걸쳐 탐색하여야 합니다.
한 가지를 정했다고 해서 끝나는 것이 아니라 언제든지 또 바뀔 수 있는 부분이니 조금함을 가지지 마시고 자신에 대한 이해와 직업세계에 대한 이해를 가지고 자신의 의사결정을 하시기 바랍니다.
또한 자기가 좋아하는 것과 잘하는 것은 다를 수 있습니다. 물론 자신이 좋아하는 것과 잘하는 것이 동일하다면 직업선택에서 좋을수 있겟지만 자신이 좋아하는 것이 무엇인지 자신이 잘하는 것이 무엇인지를 잘 탐색하는 것도 중요한 과정이 될 것입니다. 그리고 자신이 좋아한는 것과 잘하는 것을 탐색하여 그와 관련된 직업군을 가지는 것이 직업에 대한 만족도가 높을 것이라고 생각합니다.
언제든지 고민이 있으시다면 상담을 신청 해주시면 정성껏 답변해드리겟습니다.
부디 좋은 꿈을 찾아 그 꿈을 향해 열심히 매진하시 바랍니다"
간호학과를 희망하는데 지금 성적으로 어떤 대학을 갈 수 있을지 궁금해요,"안녕하세요
내친구교육넷 사이버상담실입니다.

간호학과 지원가능권이 궁금하군요.
현재 성적을 적지 않아 구체적인 답변이 어렵네요....

다음 상담에는 꼬~옥 자신의 성적을 적어서 상담을 신청해주세요.

간호학과 합격선은 타 학과에 비해 높은 편이고 일정 범위가 있어요.
일반적으로 4년제 대학은 1점대 후반에서 3점대 초 중반으로 생각하고 
전문대는 5점대까지도 가능하다고 보면 됩니다.
물론 대학에 따라 합격선의 차이는 있어요.

좀 더 구체적으로 살펴보면~

[학생부 교과, 학생부 종합]
4년제 대학의 경우 합격자 내신범위는 1등급 후반에서 3등급대까지 합격선이 형성되는 경우가 대부분입니다. 지역에 따라 내신 4~5등급이 합격하는 4년제 대학도 있습니다.
같은 대학이라도 학생부교과보다 학생부종합전형의 합격선은 내신 1~1.5등급 낮습니다.

전문대의 경우 학생부교과가 대부분이고
내신의 경우 전과목이 반영되는 경우가 많습니다.
합격선은 3점대 후반에서 5점대에서 형성되고 있습니다.

수시의 경우 수능최저도 합격의 관건이 됩니다.
내신이 일반적인 합격선 범위에 들어도 수능최저를 충족하지 못하는 경우 불합격이 되는 경우가 많습니다.

따라서 희망대학의 범위를 정하고
반영교과를 확인한 후 내신을 관리하는 것이 우선이고
희망대학의 지원전형에 수능최저를 확인하고 모의고사를 통해 수능준비도 차근차근 하는 것이 좋습니다.

수능준비가 잘 된다면, 내신이 조금 부족해도 정시에서 합격할 가능성도 있습니다.

자신의 현재 위치를 확인한 후
희망하는 목표에 도달하기위한 노력을 시작해보세요.

답변이 대입에 관한 생각을 정리하는 데 도움이 되길 바랍니다.
경북 사이버 상담실을 찾아주셔서 감사합니다."
간호사를 희망하는데 적성에 맞을지 모르겠어요. 주변에서도 안 좋은 얘기들이 많이 들려서 고민입니다. 하고 싶은 일을 하는 게 맞을까요?,안녕하세요~간호사를 꿈꾸고 있군요~^:^주변에 이야기를 듣고 확인해보고 생각해보는 시간을 가져보는 것도 좋겠지만 들려오는 많은 이야기는 실제와 다른 경우가 대부분입니다.어느 직업을 가지더라도 그 나름대로 장단점은 있기마련이고 그 중에 특별한 사건이나 사람이 한 두어명 있어도 모두가 그런것처럼 와전되어 이야기 하는 경우가 허다합니다.실제로 간호사라는 직업의 소명감을 가지고 살아가는 훌룡한 사람들이 대부분입니다.그러니 주변에서 들려오는 나쁜 이야기에 너무 신경쓰지 말고 자신의 꿈을 차근차근 키워나가기 바랍니다.하고 싶은 일을 하는 것이 당연합니다.주변에서 들려오는 안 좋은 애기들은 하기 싫은 일을 하는 사람들의 특징일 수도 있습니다.하고 싶은 일을 하는 사람은 자부심과 자긍심으로 일하기 때문에 행복할 것입니다.그러니 소중한 꿈을 잃어버리지 마세요~간호사라는 직업이 적성에 맞는지 안맞는지는 본인의 노력이 필요합니다.관심을 가지고 체험하는 과정을 통하여 적성에 맞는지 정말 좋아하는 일이 맞는지는 천천히 알아가도 좋습니다.오늘도 화이팅 하세요~!!
간호학과를 희망하는데 제 내신이 애매하다면 지금 정시에 전념하는게 좋은지 아니면 내년 내신 관리에 더 힘써야 하는지 모르겠어요ㅠ,"안녕하세요. ○○님!
내친구교육넷입니다.

 2021년도가 시작된 지 엊그제 같은데 벌써 12월도 얼마 남지 않았네요.
날씨가 많이 쌀쌀해졌습니다. 감기에 걸리지 않도록 유의하시기 바랄게요.

지난해부터 지속되고 있는 코로나19로 인해 몸과 마음이 많이 움추려 있을 때 입니다. 
또, 최근에는 확진자가 많이 생겨나고 있습니다. 이럴 때 일수록 꼭 이런 어려움을 이겨낼 수 있다는 긍정적인 마음가짐을 가지시길 바라며 건강을 위해서 틈틈이 운동도 하면서 생활하길 바랄게요.

간호학과를 희망하시는데 정시에 전념하는게 좋을지 내신 관리에 더 힘써야 할지 모르시겠다구요. 
○○님은 고등학생이신것 같은데요. 질문 내용만 봤을 때는 ○○님의 내신이 어느 정도인지 모의고사 성적이 어느 정도인지를 알수가 없네요. 

먼저 내신 관리냐 정시에 집중하느냐를 결정하기에 앞서서 내가 가고자 하는 대학의 수시 입학 성적과 수능 최저 등급 유무의 여부, 정시 입학 성적을 분석하는 게 우선 되어야 할거에요.

우선 ○○님께서 진학을 희망하시는 학교 홈페이지를 방문해서 이전의 입시 결과를 확인하시는 게 중요할 것 같네요.
대학홈페이지 자료실에 직전년도의 입학 결과가 있답니다.
합격자의 내신과 현재 ○○님의 내신을 비교해 보고 앞으로 어느 정도의 내신을 획득하면 입학에 가까워질지를 판단해야 될거에요. 그리고, 정시 합격자의 성적을 ○○님의 모의고사 성적과 비교해 보는 것도 좋겠죠. 일반적으로 모의고사 성적이 수능성적보다 조금 잘 나온다는 것을 감안해서 정시를 생각해 보는것이 바람직하답니다.

○○님의 학교에는 진학을 전문적으로 다루시는 진로진학상담선생님이 계실겁니다. ○○님의 지금까지의 내신 성적과 모의고사 성적을 바탕으로 상담을 신청해 보시는 것도 좋은 방법이 될 겁니다.

구체적인 자료(내신과 모의고사 성적)가 없어서 더 상세히는 설명을 드릴수가 없어서 유감이네요.

학교 생활에 충실하면서 최선의 노력을 한다면 ○○님이 원하는 결과를 꼭 이루실수 있을거라 믿습니다. 
화이팅입니다^^

내친구교육넷 드림"
간호사를 하고 싶은데 이 진로가 저한테 맞는지 잘 모르겠어요. 또 이 진로로 가서 잘 될지 확신이 없어요.,"반갑습니다. 사이버 상담위원 허진원입니다.학년말이 되어 올해를 반성하며 새로운 자신의 입지를 찾기 위한 시기 이다 보니 진로에 대한 관심이 높아지는 시기이군요.먼저 간호사에 대한 직업에 매력을 갖고 있군요하지만 간호사에 대한 확신이 부족하여 진로를 결정하는데 어려움을 격고 있군요.대부분의 학생이 그렇지만 자신의 진로를 탐색하는데 어려움을 격고 있습니다.그래서 좀 더 시간을 가지고 다양한 진로체험과 진로탐색을 통해 자신에 맞는 진로를 찾는 노력을 해보아요. 학생이 어떤 일을 해야 할 것인가가 궁금하다면, 학생이 무엇을 좋아 하는지 무엇을 잘 할 수 있는지 무엇을 하고 있을 때 행복한지 생각해 보아요.행복하다는 것은 무언가를 하고 있을 때 즐겁다는 것이겠지요.이를 찾기 위해서는 평소에 좋아하는 교과는 무엇이며, 주변 사람이나 친구들이 생각하는 학생의 장점은 무엇인지 생각해보아요.자신이 무엇을 좋아하고 무엇을 잘 할 수 있는지에 대한 자기이해도 중요해요자기해를 위해서는 다양한 진로적성검사를 통해 자신을 이해하는것도 좋은 방법입니다.학생이 희망하는 간호사에 대하여 알아보면 다음과 같아요. 간호사는 의료기관에서 환자의 건강을 회복, 유지하고 증진하도록 돕는 전문적인 의료활동을 수행하며, 의사의 지시를 받아 환자의 상태파악을 위해 혈압, 체온 등을 측정하고, 약품을 투여하거나 외상 치료를 하면서 환자의 상태와 반응을 관찰, 기록하여 결과를 의사에게 알리는 역할을 주로 한다고 보면 되겠지요.간호사는 13개의 분야로 전문간호사가 나뉘어지며, 가정전문간호사, 감염관리전문간호사, 보건전문간호사, 마취전문간호사, 노인전문간호사, 산업전문간호사, 응급전문간호사, 정신전문간호사, 중환자전문간호사, 호스피스전문간호사, 종양전문간호사, 아동전문간호사, 임상전문 간호사등입니다.간호사는 응급상황 시 빠르게 대처할 수 있는 순발력 및 판단력이 필요하며, 정확하고 꼼꼼한 성격을 가진 사람에게 유리합니다. 의료진 및 환자들과 원활한 의사소통을 할 수 있는 능력과 다른 사람을 잘 배려하고 봉사하는 마음이 있어야 합니다.따라서 간호사는 홀랜드검사결과  현실형과 사회형의 흥미를 가진 사람에게 적합하며, 사회성, 정직성, 신뢰성 등의 성격을 가진 사람들에게 유리하다고 할 수 있어요!간호사가 되기 위해서는 4년제 대학교 또는 3년제 대학의 간호학과, 간호과학과 등을 졸업해야 합니다 따라서 어느정도의 학업능력을 필요로 해요 대체로 중상이상의 성적을 가진 학생들이 강호학과에 진학을 하기에 간호사의 꿈을 이루기 위해서는 학교공부를 충실히 하는것도 중요하지요. 우리나라의 간호사의 종사자 수는 22만여명이 활동하고 있으며 인구의 고령화와 의료에 대한 수요증가로 간호사의 고용은 점차 증가 할 것으로 보여집니다.근무시간이 불규칙하고 근무여건이 열악한 부문도 있지만 대체로 간호사란 직업은 정규고용과 고용유지 정도가 높아 고용이 매우 안정적이며, 업무를 통해 자신의 능력을 개발할 수 있는 편으로 능력에 따라 승진 및 직장이동의 가능성이 높은 좋은 직업으로 알려져 있습니다.간호사에 대한 관심이 높다면 도전해 보는것도 좋겠지요선생님은 학생이 어떤 선택을 하던 행복한 삶을을 위해 자신이 하고자 하는 일을 하게 되길 응원할께요"
진로를 찾아야 하는데 진로를 찾는 방법을 모르겠어요. 어떻게 하면 다양한 진로를 경험하고 찾을 수 있을까요?,"안녕하세요? 사이버진로상담위원 하헌욱입니다. 만나서 반가워요^^ 진로를 어떤 방법으로 찾고 경험할 수 있을지 고민을 하고 있는데 함께 고민해봐요.

학창 시절에는 학업 성적, 교우관계 이상으로 중요한 고민이 자신의 적성에 맞는 진로를 정하는 것이라고 생각을 해요. 하고 싶은 일(직업)을 찾고 그에 맞는 노력을 하게 되면 그 목표를 이루기 위한 강한 동기부여가 되어 학업에도 집중할 수 있고 학교생활도 더 알차게 할 수 있어요. 그러나 대부분의 학생들이 자신이 어떤 진로가 어울리는지 혹은 어떤 진로가 있는지를 모르기 때문에 초등학교부터 대학 학과를 정하는 고등학교 3학년, 심지어 대학생이나 어른이 되어서도 자신의 진로를 고민을 해요. 따라서 이러한 고민은 매우 자연스럽고 건강한 성장의 과정이므로 자신의 진로를 못 정하겠다는 것에 조급하거나 걱정할 일은 없어요. 이렇게 고민하고 사이버진로상담센터를 찾아와서 질문하는 것 자체로도 충분히 잘하고 있다고 격려해주고 싶어요. 그래도 선생님이 알려줄 수 있는 몇가지 방법을 소개해 볼게요. 

1. 나에 대해 탐색하기(이해하기)
 자신에게 어울리는 진로를 찾기 위해서는 자신에 대해 잘 알아야 해요. 자신이 무엇을 잘 하는지, 어떤 활동을 좋아하는지 또는 장단점은 무엇인지 등등 스스로에 대한 이해가 가장 우선 시 되어야 하고 우리는 이것을 적성이라고도 표현해요. 특히 적성에 맞는 진로를 정하게 되면 그 진로를 노력하는 과정에서 같은 노력 대비 더 나은 성취를 보일 확률이 높으니 중요한 요소라고 생각해요. 따라서 자신의 적성 혹은 자신이 어떤 사람인지 생각해보고 잘 모르겠다고 생각이 된다면 책상 앉아서 마음을 차분하게 가라앉힌 뒤 빈 종이에 자신의 장점, 단점, 잘하는 점, 못하는 점 등을 적어보면서 본인에 대해 생각해보는 시간을 가져 보는 것도 좋아요. 또한 본인에 대해 가장 잘 알고 이해하고 있는 사람이 부모님이라고 생각해요. 따라서 열린 마음으로 부모님과 자신의 특성, 진로에 대해 이야기 해보는 것도 큰 도움이 된답니다. 

2. 진로심리 상담 검사를 활용하자.
학교에서 시행하는 진로적성 검사는 충분한 연구와 검토를 통해 만들어진 의미있는 검사 활동 이예요. 따라서 학교에서 실시하는 진로적성 검사를 할 때 마다 꾸미지 않고 최대한 진실되게 검사에 응해서 객관적인 결과가 나오도록 하는 것이 좋아요. 이미 검사를 했거나 가까운 시일 내에 학교 계획에 없다면 
온라인 상의 워크넷(https://www.work.go.kr)이나 커리어넷(www.career.go.kr)을 
활용해보는 것도 좋아요. 물론 정식 검사만큼 정확도가 높거나 신빙성이 있는 것은 아니지만 두 사이트 모두 진로심리검사를 무료로 제공해 주고 있으므로 이 검사를 통해 자신이 모르던 적성이나 소질, 추천 진로를 알 수 있으리라 생각 되요. 그러니 이 답변을 보는 순간 워크넷과 커리어넷의 진로검사를 먼저 해보도록 하세요. 

3. 학교 담임 선생님, 진로 상담 선생님께 도움을 요청하자
 담임 선생님, 진로상담 선생님께 자신의 진로와 고민에 대해 이야기 해보는 것도 좋은 방법이예요. 선생님들은 수많은 학생들을 교육하면서 누구보다 학생들을 객관적으로 바라볼 수 있는 실력을 갖추고 있으며, 담임 선생님의 학생의 특성을 잘 이해하고 있으리라 생각되요. 따라서 학생의 특성에 맞는 구체적인 진로지도가 가능해요. 또한 진로상담 선생님께서는 담임 선생님과 다른 더욱 더 전문화된 진로 교육과 훈련을 통해 학생들에게 담임 선생님께서 제공해주지 못하는 구체적인 정보와 방향성을 제시할 수 있는 전문가들입니다. 그러니 담임 선생님과 진로상담 선생님께 도움을 요청해보길 추천해요.

4. 학교생활이나 일상 생활 속에서 진로가 보인다.
학교생활을 해나가다 보면 진로가 결정되는 경우도 있어요. 현재 학생은 중학생으로 아직 고등학교 생활 등 많은 학교생활이 남아 있어요. 앞으로 경험하게 될 다양한 교과목(국어, 영어, 수학, 사회, 과학 등)과 동아리활동, 체험학습, 수학여행 등 다양한 활동 속에서 자신이 흥미를 가지거나 잘할 수 있는 일을 찾을 수도 있어요. 그러니 진로에 대해 생각하고 자신을 알아가는 과정에서 적극적인 학교생활을 하는 것도 좋은 방법이랍니다.

이때 자신의 진로 및 직업에 대해 체험하고 경험할 수 있는 방법으로는 우선은 학교에서 실시하는 진로 체험 박람회 또는 학과 체험이 가장 쉬운 체험 방법이라고 할 수 있어요. 다만 이런 학교에서의 체험은 1년에 1~2회로 횟수가 적고 자신이 원하는 체험을 하기 어려운 경우가 많아요. 그래서 우리나라 전국의 진로체험 장소 및 업체를 안내 해주는 
‘꿈길(https://www.ggoomgil.go.kr/)’에서 자신이 원하는 진로 체험이 있으면 개인적으로 경험해보는 것도 방법이라고 생각해요. 또한 유튜브에서도 브이로그 형태의 다양한 직업군들의 하는 일, 정보를 제공하는 영상이 많이 올라오고 있으니 이를 활용하는 것도 하나의 방법이 될 수 있다고 봐요.

자신의 진로를 찾고, 경험해보는 일반적인 이야기에 대해 적어보았어요. 다시한번 진로를 찾기 위한 고민과 과정은 너무 자연스러운 일임을 알고 차분하게 자신의 적성과 진로를 찾아갔으면 좋겠습니다. 그럼 궁금한 내용이 있으면 언제든지 질문은 환영이고, 학생의 진로를 위한 노력을 응원합니다. 화이팅!!"
내년이면 대학 입시를 해야하는데 정말 원하는 학과나 진로가 없어요. 그냥 성적 맞춰서 대학하는게 도움이 될까요? 아니면 꼭 원하는 진로를 찾아야 할 까요?,"안녕하세요
내친구교육넷 사이버상담실입니다.

곧 고3이 되는데 아직 진로를 정하지 못했군요.
성격에 따라 의사결정이 어렵거나 두려운 경우가 있죠.
그런 경우 의사결정의 마지막 순간까지 머뭇거리다 조건과 상황에 맞춰 밀리듯 성급한 의사결정을 하게 됩니다.

그 결론은....


의사결정의 영향이 일회성이라면 한 번의 후회나 절충점 찾기로 시간을 보낼 수 있습니다.
그러나 진로방향 결정은 꽤 오랫동안, 적어도 대학 재학기간에서 취업까지 영향을 미칩니다. 취업이 만족스럽지 않다면 전체 인생에 영향을 미치는 경우도 발생하겠죠.

본인이 그 자체로 소중한 사람이라고 생각한다면, 그래서 자신의 인생을 보다 만족스럽고 의미있게 만들고 싶다면 , 대충 성적에 맞추겠다는 생각과 습관을 버리세요.
그리고 진로방향 잡기를 시작해보세요.
그래야 겨울방학도 알차게 보낼 수 있고, 고3기간도 방향성을 가지고 노력할 수 있습니다.

성인이 되는 시점에 진로를 결정한다는 건, 성인의 자격으로 자신의 삶의 방향을 결정하는 겁니다.
첫 의사결정을 대충 한다면, 그 다음 중요한 의사결정 앞에서도 같은 행동을 할 가능성이 높아집니다.

자신감을 가지고, 의사결정의 노력 그 자체가 큰 의미가 있음을 생각하며,
진로방향을 잡아보세요. 
혼자서 하기 어렵다면 학교의 진로선생님이나 담임선생님께 도움을 요청하는 것도 좋겠죠.

시작이 귀찮거나, 그 결과를 확인하기 어려워 의사결정을 미루거나 회피하면 늘 그렇게 살게 됩니다!
결과는 점점 더 하락세를 보이겠죠.

답변이 진로에 관한 생각을 정리하는 데 도움이 되길 바랍니다.
경북 사이버 상담실을 찾아주셔서 감사합니다."
"저는 초등학교 교사를 꿈꾸는 6학년 이라고 합니다 : )진로는 이미 정했는데 어느 방향으로 나아가야 할지 궁금해서요,,1. 초등학교 교사가 되려면 어떻게 해야 하나요?2. 제가 발표를 잘 못해요.. 발표도 잘하는 방법 알 수 있을까요?또, 제가 이번에 중학교에 들어가는데요 : )중학교는 초등학교와 어떤점이 다르나요?","안녕하세요?사이버 상담교사입니다.초등학교 선생님이 되고 싶은 꿈을 가지고 있군요.궁금증에 대해 함께 생각을 나누어 볼게요.1. 초등학교 교사가 되려면 어떻게 해야 하나요?  교육대학교를 졸업하고 임용시험을 보아서 합격하면 초등학교 교사가 될 수 있습니다.  또 한 가지는 교육대학교는 아니지만 초등교육과가 있는 학교를 졸업하여 임용시험을 보아서 합격하면 초등학교 교사가 될 수 있습니다. 2. 발표를 잘 하는 방법은? <준비를 하자.>   준비될수록 덜 떨리게 되므로 주제에 대해 공부하고 발표할 말을 먼저 적어보세요. 쓰면서 좀 더 정리가 되고 외워지므로 자신감을 키워줍니다. <건강 관리를 하자.>건강한 몸에서 건강한 정신이 나오기 때문에 푹 자고 골고루 먹고 좋은 습관을 갖는 것이 중요합니다. 컨디션이 좋은 상태라면 훨씬 발표를 잘 하겠지요?. <자신 있게 말하자.> 발표나 연설을 두려워하는 것은 누구나 가지고 있는 흔한 마음입니다. 그러나 터놓고 말을 안 하니 나만 그런 것 같이 느껴질 뿐이죠. 그러니 떨리고 불안하다고 이야기하지 말고 준비를 하여 자신 있게 말하면 남들은 그런 것이 있었는지도 모릅니다. 이런 과정을 반복하다 보면 발표를 즐기는 때가 올 것입니다.3. 중학교와 초등학교가 다른 점은?  - 초등학교는 선생님께서 교실에 함께 계시는데, 중학교는 선생님들만 계시는 교무실이 따로 있어요. 그리고 초등학교는 일부 교과 전담 선생님이 계시는 과목을 제외하고는 담임선생님과 수업을 했는데 중학교에서는 모든 과목마다 선생님이 다르고 과목의 수도 많아져요.  - 초등학교는 한 교시가 40분이고, 중학교는 5분이 늘어 45분 수업을 하게 되어요. 초등학교는 담임선생님께서 숙제나 수행 평가 등을 챙겨주셨던 것에 비해서 중학교 때는 스스로 관리해야 하는 것들이 많아요. 과목마다 선생님이 다르시기 때문에 담임 선생님께서 모든 것을 알려주실 수도 없답니다.궁금한 부분에 대해 답변이 잘 되었나요? 좋은 선생님이 되어 행복한 모습으로 학생들과 함께 할 그 날을 상상하며 꿈을 향해 도전하는 발걸음을 응원합니다. 홧팅!!!"
어떻게 하면 내신 성적을 올릴 수 있을까요 건축학과를 가려면 어떤 것을 준비해야 할까요,"반갑습니다! 내친구교육넷 사이버상담위원입니다. 우선 자신의 진로 개척을 위해 상담실을 찾아온 학생의 관심에 응원의 박수를 보냅니다. 내신 성적을 향상시키기 위한 방법과 건축학과 진학에 대하여 문의해 주셨군요.

학교 시험은 학교 선생님께서 출제를 합니다. 내신 향상을 위해서 가장 중요한 것은 수업시간에 집중하는 것입니다. 예습도 중요하지만 복습이 더 중요합니다. 그 날 배운 것은 그 날 완전히 익히도록 해서 완전히 소화해야 합니다. 교과서를 통해서 원리와 개념에 충실하시고 잘 모른 것은 선생님께 질문하여 반드시 알아 두어야 할 것입니다.

진로목표를 달성하려면 학업 성취 수준과 학습 방법에 대한 점검이 필요할 것입니다. 커리어넷의 진로동영상/ 고등학교 내신 관리 찐 공부법 편을 참고해 보십시오학업 성취 평가 방법 이해하기, 과목별 공부법 알아보기, 자기주도적 학습 방법 탐색하기를 주제로 내신을 향상시키기 위한 안내가 자세하게 되어 있습니다.

건축학과는 공학대학에 속해 있으며 수학, 물리학이 기본이 됩니다. 그리고 컴퓨터CAD프로그램을 설계할 때 이용하게 됩니다. 건축학은 설계, 건축공학은 시공을 주로 한다고 보면 됩니다. 자세한 내용은 커리어넷의 학과 정보를 탐색해 보시기 바랍니다.
-커리어넷/학과정보/건축학과- 학과인터뷰 동영상
-커리어넷/학과정보/건축공학과- 학과인터뷰 동영상

오늘 선생님 답변이 도움이 되었나요? “꿈은 찾는 것이 아니라 만들어 가는 것이다.”라는 말도 있습니다. 자신이 목표를 세웠다면 목표를 달성하기 위하여 꾸준한 노력과 반성으로 자신을 가꾸어 가라는 의미겠지요. 오늘도 힘내시고 좋은 하루 되시기 바랍니다."
전문대 입시는 어떤걸 잘해야 하나요??,"안녕하세요~전문대학교에 대한 정보가 궁금한가 봅니다. 대입정보포털 어디가에서 각 전문대학교에 대한 정보를 찾아 볼 수 있어요.https://www.adiga.kr/EgovPageLink.do?link=EipMain여기서 대학정보에서 가면 일반 4년제 대학과 전문대학교로 구분되어 있어요.전문대학에 가서 일단 전문대학마다 가지고 있는 특성을 찾아 보면 도움이 될 것 같아요.전문대학은 해마다 사회에서 유망하고 실제적으로 도움이 되는 학과로 통페합을 하는 추세입니다.전문대는 그야말고 전문적인 지식이나 기술을 단기간에 배워서 현장에 적용할 수 있어야 하기 때문에, 본인이 원하는 학과를 먼저 선택한 후에 가정환경이나 여러가지 주변환경을 고려하여 원하는 대학을 찾는 방법을 추천드립니다.전문대 입시나 일반대 입시에서 어떤걸 잘해야 합격할 수 있는지에 대한 궁금증은 비슷비슷합니다. 일반대학이나 전문대학에서 학생을 뽑을 때 보는 가장 중요한 기준은 이 학생이 우리학교 원하는 학과에 와서 얼마나 잘해 낼 수 있을까를 평가헤서 뽑는다고 보면 됩니다.그러니 먼저 고려해야 할 것이 내가 무엇을 전공하고 싶은지, 어떤 직업을 가지기 위해 공부블 하고 싶은지를 충분히 검토하고 고민한 후에 진로선택을 해야합니다.전문대의 유망한 학과보다는내가 어떤 학과, 어떤 공부를 하는 것이 나의 적성과 흥미에 맞는지를 고민한 후에 대학을 결정하는 것이 중요합니다. 미래의 유망직업 중에서 내가 잘 할 수 있는 직업은 무엇인지 생각해 보고 결정하면 좋겠습니다.화이팅 하세요~!!!"
