직업명,직무만족_급여,직무만족_승진,직무만족_상사,직무만족_동료,직무만족_전반적,합계
행정부고위공무원,4,4,4,4,4,20
행정부고위공무원,3,3,3,4,4,17
행정부고위공무원,4,4,4,3,4,19
행정부고위공무원,5,5,5,5,5,25
행정부고위공무원,4,4,4,4,4,20
행정부고위공무원,4,4,4,4,4,20
행정부고위공무원,4,4,4,4,4,20
행정부고위공무원,4,4,4,4,4,20
행정부고위공무원,4,4,4,4,4,20
행정부고위공무원,4,4,4,4,4,20
행정부고위공무원,5,5,5,5,5,25
행정부고위공무원,4,4,4,4,4,20
행정부고위공무원,4,4,4,4,4,20
행정부고위공무원,4,4,4,4,4,20
행정부고위공무원,4,4,4,4,4,20
행정부고위공무원,3,4,4,4,4,19
행정부고위공무원,4,4,4,4,4,20
행정부고위공무원,4,5,4,4,4,21
행정부고위공무원,3,4,3,5,4,19
행정부고위공무원,4,4,3,5,4,20
행정부고위공무원,4,5,3,3,4,19
행정부고위공무원,4,3,5,5,4,21
행정부고위공무원,4,3,3,4,4,18
행정부고위공무원,4,3,4,3,4,18
행정부고위공무원,3,4,3,4,3,17
행정부고위공무원,4,4,4,5,4,21
행정부고위공무원,4,4,4,5,4,21
행정부고위공무원,4,4,4,4,4,20
행정부고위공무원,4,3,4,4,4,19
행정부고위공무원,4,4,3,4,4,19
기업고위임원(CEO),4,5,9,4,5,27
기업고위임원(CEO),4,4,3,4,4,19
기업고위임원(CEO),4,4,3,3,3,17
기업고위임원(CEO),5,9,9,9,4,36
기업고위임원(CEO),4,9,9,9,4,35
기업고위임원(CEO),4,5,5,4,4,22
기업고위임원(CEO),5,5,5,5,5,25
기업고위임원(CEO),5,4,5,5,5,24
기업고위임원(CEO),2,3,3,3,3,14
기업고위임원(CEO),5,9,9,9,4,36
기업고위임원(CEO),4,4,3,4,4,19
기업고위임원(CEO),4,4,4,4,4,20
기업고위임원(CEO),4,4,3,4,4,19
기업고위임원(CEO),5,5,4,4,4,22
기업고위임원(CEO),4,3,3,4,4,18
기업고위임원(CEO),4,9,9,4,4,30
기업고위임원(CEO),5,9,9,3,4,30
기업고위임원(CEO),4,9,9,5,4,31
기업고위임원(CEO),4,9,9,4,4,30
기업고위임원(CEO),4,9,9,4,4,30
기업고위임원(CEO),4,9,9,4,4,30
기업고위임원(CEO),5,5,9,4,4,27
기업고위임원(CEO),4,3,5,4,4,20
기업고위임원(CEO),5,4,4,3,4,20
기업고위임원(CEO),4,4,4,4,4,20
기업고위임원(CEO),4,4,4,3,4,19
기업고위임원(CEO),4,9,9,4,4,30
기업고위임원(CEO),4,4,4,4,4,20
기업고위임원(CEO),3,4,4,3,3,17
기업고위임원(CEO),4,4,4,4,4,20
기업고위임원(CEO),3,4,4,4,3,18
마케팅·광고·홍보 관리자,3,3,3,3,4,16
마케팅·광고·홍보 관리자,5,3,5,4,5,22
마케팅·광고·홍보 관리자,4,4,4,5,4,21
마케팅·광고·홍보 관리자,4,3,3,3,3,16
