,0,1,index,result,dbs1,result2,dbs2,result3,dbs3,result4,dbs4,result5,dbs5,result6,dbs6,result7,dbs7,result8,dbs8,result9,dbs9,result10,dbs10
5,따라서 저 한테 있는 글쓰기에 대한 재능은 없는 재능이며 따라서 전 재능과 그런게 없어요,"['글쓰기', '대한', '재능', '없다', '재능', '전', '재능', '그렇다', '없다']",5,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,1,1,,
28,이 둘에 대해 평소에 생각을 안해봐서할 말도 없고 그냥 궁금해지네요,"['대해', '평소', '생각', '해보다', '하다', '말', '없다', '그냥', '궁금하다']",28,0,0,-1,0,-1,0,0,0,0,0,0,0,1,1,,,,,,
35,앞 내용을 직접 타자를 치면서 생각을 해봐도 제 재능이 뭔지 알 수 없더라고요 아무리 좋은 환경이 제공이 된다 해도고집이심해서 제가 직접 그 기회를 발로 차는 느낌이 있는 것 같아요,"['앞', '내용', '직접', '타자', '치면', '생각', '해보다', '재능', '알', '수', '없다', '좋다', '환경', '제공', '되다', '해도', '고집', '심하다', '직접', '기회', '발', '차다', '느낌']",35,0,0,-1,0,-1,0,0,0,-1,0,1,1,,,,,,,,
39,제가 올해로 고3이 됩니다,"['올해', '고', '되다']",39,0,0,-1,0,2,2,,,,,,,,,,,,,,
48,저는 어릴 때 운동 음악같이 활동적인 것을 좋아했고 재능도 있었지만 방과후를 하며 구체적으로 무슨 일을 하는지 모른 채 공학자라는 꿈을 갖게 되었습니다 인간이라면 머리를 쓰는 일을 해야지라며 스스로를 세뇌하면서 예비 고3인 지금까지 다른 관심있는 분야는 배제한 채 오직 공학자가 돼야겠다고 생각하며 공부만 하고 살아왔습니다 하지만 최근에 미래에 어떻게 살아갈지 계획해보는 시간을 가지고 공학자라는 직업에 대해 자세히 알아보면서 그 일이 저와 맞지 않는다는 것을 알게 되었습니다,"['어리다', '운동', '음악', '활동', '좋아하다', '재능', '방과후', '하다', '구체', '하다', '모르다', '채', '공학자', '꿈', '갖다', '되어다', '인간', '라면', '머리', '쓰다', '하다', '스스로', '세뇌', '하다', '예비', '고', '인', '지금', '관심', '분야', '배제', '채', '공학자', '돼다', '생각', '하다', '공부', '하다', '살아오다', '최근', '미래', '어떻다', '살아가다', '계획', '해보다', '가지', '공학자', '직업', '대해', '자세하다', '알아보다', '맞다', '않다', '알', '되어다']",48,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,
61,안녕하세요,['안녕하다'],61,1,1,,,,,,,,,,,,,,,,,,
62,저는 사육사가 되고싶은 2005년생 김민지 입니다,"['사육사', '되다', '김민지', '이다']",62,0,0,-1,0,2,2,,,,,,,,,,,,,,
69,안녕하세요,['안녕하다'],69,1,1,,,,,,,,,,,,,,,,,,
70,법조인을 꿈꾸는 학생입니다,"['법조인', '꿈꾸다', '학생', '이다']",70,0,0,-1,0,1,1,,,,,,,,,,,,,,
78,안녕하세요 ,['안녕하다'],78,1,1,,,,,,,,,,,,,,,,,,
80,저도 겨울방학이 비교적 학기 중보다 시간도 많고 방학동안 취약한 과목을 열심히 공부하려고 독서실을 끊고 방학 첫 일주일은 정말 열심히 공부한것같아요 그러다가 혼자 공부하니 내가 하는게 맞나 싶고 왜 내가 공부를 해야할까 라는 생각도 들어요,"['겨울방학', '비교', '학기', '중', '많다', '방학', '취약', '과목', '공부', '하다', '독서실', '끊다', '방학', '첫', '일주일', '정말', '공부', '공부', '하다', '내', '하다', '맞다', '싶다', '내', '공부', '하다', '하다', '생각', '들다']",80,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,17,17,,,,
88,이런 생각을 계속 하는 제가 너무 바보같아요,"['이렇다', '생각', '계속', '하다', '바보']",88,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,
89,당장 수능이 300일도 안남았는데 많이 부족한 내가 놀때가 아닌데 너무 집중이 안되요 많은 해결방안을 생각해봐도 뭐가 좋을 지 모르겠어요,"['수능', '안남다', '부족하다', '내', '놀때', '아니다', '집중', '안되다', '많다', '해결', '방안', '생각', '해보다', '뭐', '좋다', '지다', '모르다']",89,0,0,-1,0,-1,0,0,0,-1,0,2,2,,,,,,,,
91,무기력증이 아닌가싶지만 그냥 항상 공부는 하기 싫었던것같아요 살면서 한번도 남들을 부러워한적이 없지만 요즘에는 공부를 매일 열심히 하는 친구들이 너무 부럽네요제가 요즘 왜이러는 걸까요 공부는 왜 해야하나요 ,"['무기력증', '아니다', '그냥', '항상', '공부', '하다', '싫다', '살다', '한번', '남', '부럽다', '한적', '없다', '요즘', '공부', '매일', '하다', '친구', '부럽다', '요즘', '이르다', '걸다', '요', '공부', '하다']",91,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,17,17,,,,
99,그리고 무엇을 하고싶은지도 잘 모르겠어요,"['하다', '자다', '모르다']",99,0,0,1,1,,,,,,,,,,,,,,,,
101,안녕하세요,['안녕하다'],101,1,1,,,,,,,,,,,,,,,,,,
103,저는 이제 1학년을 마치고 겨울방학을 보내고 있는 학생입니다,"['이제', '학년', '겨울방학', '보내다', '학생', '이다']",103,0,0,-1,0,1,1,,,,,,,,,,,,,,
104,저는 늦어도 2학년 1학기가 끝나기 전에는 진로를 선택하겠다는 마음으로 방학이 시작했을 때부터 여러 진로를 찾아보고 있는데요,"['늦다', '학년', '학기', '끝나다', '전', '진로', '선택', '하다', '마음', '방학', '시작', '하다', '여러', '진로', '찾아보다']",104,0,0,-1,0,0,0,0,0,0,0,0,0,2,2,,,,,,
108,안녕하세요,['안녕하다'],108,1,1,,,,,,,,,,,,,,,,,,
113,안녕하세요 저는 올해 중1이 된 학생입니다,"['안녕하다', '올해', '중', '되다', '학생', '이다']",114,0,0,-1,0,2,2,,,,,,,,,,,,,,
114,항상 주니어 커리어넷을 이용하다가 처음으로 중학생용 상담도 신청 해보네요 ,"['항상', '주니어', '커리어', '이용', '하다', '처음', '중학생', '용', '상담', '신청', '해보다']",115,0,0,-1,0,28,28,,,,,,,,,,,,,,
117,저의 처음 장래희망은 선생님 이였어요,"['처음', '장래희망', '선생님', '이다']",118,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,2,2,,
120,2학년 때는 수의사 였어요,"['학년', '수의사', '이다']",121,0,0,-1,0,1,1,,,,,,,,,,,,,,
127,3학년 중 지금까지 제 장래희망은 판사였어요,"['학년', '중', '지금', '장래희망', '판사', '이다']",128,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,6,6
132,아침에 틈틈히 줌 독서실에 들어가 5시부터 공부 학원 끝나고도 자습 그리고 저를 위한 휴식시간과 취미생활도 틈틈히 가지며 건강한 공부습관을 가졌죠,"['아침', '틈틈하다', '줌', '독서실', '들어가다', '공부', '학원', '끝나다', '자다', '위', '휴식시간', '취미', '생활', '틈틈하다', '가지', '건강하다', '공부', '습관', '가지다']",133,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,5,5,,
133,공부가 지겹거나 힘들지 않았어요,"['공부', '지겹다', '힘들다', '않다']",134,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,17,17,,
134,그런데 요즘 제가 정말 즐겁게 공부를 하나,"['요즘', '정말', '즐겁다', '공부']",135,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,17,17,,
148,그때 알았어요,['알다'],149,0,0,2,2,,,,,,,,,,,,,,,,
