,0,result
0,재능을 찾고 싶어요,1
1,관심있는게 있긴 한데뮤지컬노래글vrv튜버 등 하지만 이중 재능을 보이는게 하나 밖에 없는 건 같습니다,6
2,글쓰기인데 요즘 글을 너무 안 써 보기도 했고 조금만 찾아봐도 저보다 어린 초등학생 재능형 인간들이 넘쳐나니까그리고 무엇보다 미래에는 로봇들이 많이 나와 그것들이 인간의 글 실력을 뛰어넘을 것 같아 글쓰는건 너무 힘들고게다가 다들 로봇이 인간의 감성을 뛰어 넘을 수 없다 하는데 전 이렇게 생각하거든요,14
3,인간의 마음은 쉽게 변화하고 로봇 글 산업이 발달하기 전 인간이쓴소설 글 등은 그땐 이미 다 큰 어른들이 추억용으로볼 거 같고미래의아이들은 교과서 속에서만 우리때의 글을 보지 않을까,6
4,전 이렇게 생각합니다,15
5,따라서 저 한테 있는 글쓰기에 대한 재능은 없는 재능이며 따라서 전 재능과 그런게 없어요,14
6,진짜 부정적이게 말하면 16년이란 세월이 지나면서 전 성장한게 거의 없는 것 같아요,0
7,하루하루를 너무 무기력하고 체감을 안 하면서 살아온거 같아요,0
8,학습에대한 집중력 및 이해력도 또래 아이들에 비해 상당히 낮고 그래서 공부 시험 점수는 늘 낮고 이대로는 진짜로 고등학교 진학도 힘들 것 같아요,14
9,제가 너무 부정적인지는 모르겠지만세상은 성적 순이 절반이상은 먹고 들어가는 것 같아요,14
10,제 성격이 너무 소심한 것도 재능 찾기에 어려움을 주는 것 같아요,6
11,세상은 점점 상향평준화가 되가고있는데 저는 세상과 함께 저도 같이 부정적으로 바라보고 있어요,9
12,뭐 제가 부정적으로 세상을 바라봐도 어쩌겠습니까,6
13,세상은 점점 좋아진다,6
14,이건 사실같고 저 혼자 부정적이게 바라보는데 이래서 재능을 찾기가 어려운 걸까요,6
15,결단력실행력집중력이 부족한 것 같습니다,16
16,일단 전 이 셋이 모두 있어야 일을 시작할 수 있다고 생각하거든요 각자 셋이 밀접성과 연결성이 있다,0
17,이렇게 생각합니다어라,15
18,근데 전 이 모든게 정말 몹시 부족한 것 같아요한 우물 만 파라 전 이말에 백번 동의합니다,6
19,저도 어렸을때 부터 이 셋을 키웠어야 하는데지금부터 이 셋을 올리고 싶은데 어 집중력이 모자라서 중간중간마다 유튜브를 키는데저도 제가 별로로 보이더라고요또 저는 실행력이 모자라서 내가 부족한 점을 찾아도 실현시키기 어렵고요 게다가 이건 확실하게 알 수 있었는데제가 이전에 글 을 썼다고 했는데 그 글의 종류가 감상문이 많았거든요,0
20,그 감상문 속 내가 느꼈던 부족한 점을 찾아도실현시키지 못했습니다,0
21,또한 이걸 본인도 느끼는데도 불구하고 고치지 않는다는게 참 슬프네요,14
22,그리고 전 옆에서진전로에 대해 계속 알려줄 선생님이 필요한 것 같습니다,14
23,허나 제가 살고 있는 곳이 워낙 시골이라 그러한 선생님을 구하기 힘들고또한 도시로 간다 해도 이런 선생님이 날 가르쳐 줄지 알 수 없어결국 전 결단력이 약해 갈팡질팡 시간만 태우는 것 같아요,6
24,이건 재능과 별개긴 하지만 어떻게 해야 이 셋을 적당히 조율해 가면서 키울 수 있을까요,0
25,자신감과 자존감이 부족합니다,6
26,결국 진짜 큰 툴이 있다치고 재능에 필요한 재료들이 있다하면 전 이중 가장 메인 재료로 생각하는게자신감과 자존감이라 생각합니다,0
27,근데 저는 이 둘 모두가 모자릅니다,2
28,이 둘에 대해 평소에 생각을 안해봐서할 말도 없고 그냥 궁금해지네요,18
29,부정적입니다,19
30,너무 부정적으로 있는 것 같아요,2
31,그것도 꽤 좋은 나라에서집에서 대한민국 비판 유튜브 영상 뜨면 우리 나라를 그저 비판만 하고 있으니,6
32,되게 제 성격이 꼬여있고 하는 말 하나하나가 모순돼 있는 것 같아요,0
33,제가 자기합리화가 너무 진행되있고 자기객관화가 너무 모자른 것 같아요,6
34,재능을 찾고 싶습니다,1
35,앞 내용을 직접 타자를 치면서 생각을 해봐도 제 재능이 뭔지 알 수 없더라고요 아무리 좋은 환경이 제공이 된다 해도고집이심해서 제가 직접 그 기회를 발로 차는 느낌이 있는 것 같아요,6
36,저처럼 부정적인 사람도 재능을 찾을 수 있을까요,13
37,2000타를 꽉 체울려 하니 너무 횡성수설 말했던 것 같아요,6
38,저도 자가성찰을 할 수 있는 계기가 되었던 것 같아요긴글 봐주셔서 감사드립니다,0
39,제가 올해로 고3이 됩니다,3
40,근데 공부 성적도 딸리고 미래가 암담해요,14
41,이제 곧 개학이기도 하고 그래서 진로를 정해야 될텐데 전 음악 쪽으로 가고 싶은데 아무래도 예체능이 돈이 많이 들어서 부모님이 반대 하십니다,8
42,예전에 피아노를 배운 적 있긴 하지만 실력은 터무니없이 부족하지만 음악을 듣는 것도 좋아하고 연주 하는 것도 좋아해요,8
43,작년 5월 쯤에 부모님한테 여쭈어봤는데 엄마는 허락을 하셨지만 아빠께서 현실 지향적으로 말씀하셔서 진로를 정할 거면 공무원을 해라라는 식으로 말씀 하셔서 많이 고민이 됩니다,11
44,학교에서도 진로랑 관련된 PPT 발표 뭐든지 진로랑 관련 지어서 수행평가를 보는데 전 아직도 진로를 확실히 못 정해서 그냥 백지로 내기도 해요,14
45,아빠가 좀 엄하셔서 이런 얘기는 잘 못 꺼내겠습니다,11
46,현실적으로 바라본다면 아빠 말씀이 맞기도 한 거 같은데 전 제가 일 할 때 웃을 수 있는 진로를 정하고 싶어요,18
47,어떻게 하면 좋을까요 다른 친구들은 자기 진로를 향해서 나아가는데 저만 없는 거 같아 불안해요,11
48,저는 어릴 때 운동 음악같이 활동적인 것을 좋아했고 재능도 있었지만 방과후를 하며 구체적으로 무슨 일을 하는지 모른 채 공학자라는 꿈을 갖게 되었습니다 인간이라면 머리를 쓰는 일을 해야지라며 스스로를 세뇌하면서 예비 고3인 지금까지 다른 관심있는 분야는 배제한 채 오직 공학자가 돼야겠다고 생각하며 공부만 하고 살아왔습니다 하지만 최근에 미래에 어떻게 살아갈지 계획해보는 시간을 가지고 공학자라는 직업에 대해 자세히 알아보면서 그 일이 저와 맞지 않는다는 것을 알게 되었습니다,8
49,그래서 제가 지금까지 뭘 바라고 달려왔는가 생각해보니 그냥 좋은 대학 간판을 달면 친구들이 다르게 보고 주변 사람들에게 인정받을 수 있다는 믿음 하나로 공부를 계속할 수 있었다는 것을 깨닫게 되었습니다,14
50,대학 간판을 달고 난 뒤는 어떻게 살지 고민도 안 해본 채 말이죠,2
51,그 고민을 최근에 해보면서 정말 막막했고 공부가 하기 싫어졌습니다,11
52,그래서 저는 제가 구체적으로 무엇을 좋아하는지 생각하면서 과거를 돌이켜 보았습니다,18
53,제가 초등학교 중학교 때 공부 외에 즐기며 한 활동은 축구 배드민턴 야구 수영 육상 피아노 클라리넷 등이 있는데 코딩같이 공학계열 관련 활동은 거의 해본 적이 없었고 즐기지도 않았었던 것 같습니다,14
54,또 올림픽에 나와서 뛰는 선수들을 보거나 영화 배우 공연하는 사람들을 볼 때마다 가슴이 뛰고 나도 해보고 싶다는 마음이 생기기도 했습니다,0
55,그치만 저는 매번 저렇게 되는 건 너무 어렵지 않을까,13
56,밥 먹고 저 일만 해야 할 거 아냐라고 생각하며 그냥 공부만 하다가 지금까지 살아왔고 성적도 1등급 정도로 잘 관리해왔습니다,11
57,근데 이제 와서 공학계열은 저와 맞지 않다는 것을 알게 됐으니 그 분야를 제외한 쪽으로 진로를 빨리 틀어야 하는데 어디로 틀지도 모르겠고 막막한 상황입니다,13
58,예체능 쪽 진로를 생각하기에는 만 17세라는 나이가 너무 늦지 않았나 싶고 인문 계열은 생각해본 적이 없어서 어느 분야가 좋을지도 모르겠고 가장 고민인 것은 고3인 상황에 진로 고민하기에는 공부는 계속 해야 하는데 그렇게 시간을 보내다가 다른 분야특히 예체능를 시작하기에는 더 늦어지지 않을까하는 걱정입니다,18
59,그리고 다른 분야를 찾기에는 청춘을 바칠만한 진로를 정하기가 어려워서 요즘 하루하루가 괴롭고 공부도 하기 싫어서 우울한 상태입니다,8
60,그래서 일단 수능까지 공부에 전념을 하고 그 이후에 좀 진로 모색을 하는 것이 좋을지 아님 지금이라도 진로 고민을 해서 답을 찾는 것이 좋을지 여쭙고 싶습니다,18
61,안녕하세요,4
62,저는 사육사가 되고싶은 2005년생 김민지 입니다,9
63,저는 중학교 3학년 때 한국펫고등학교 캠프를 다녀왔는데요,19
64,제가 현재 경북에 있는 인문계 고등학교에 다니고 있는데요 영주에서 봉화를 2년 동안 왔다갔다 하는게 너무 힘들어서 자퇴도 고민하고 있어요,2
65,학교를 어떻게 해야 할지 모르겠어요,12
66,아이돌도 제가 20살 넘어서 학원다니기로 부모님이랑 다 이야기가 돼 있어서요,9
67,진로가 너무 걱정이 되어서 상담 글을 남겨요,13
68,진로검사도 다시 받아보고 싶고 진로상담도 다시 해보고 싶어요,1
69,안녕하세요,4
70,법조인을 꿈꾸는 학생입니다,19
71,1 법조인이 되기 위해서는 로스쿨을 가야하는데 상위권 대학 법학과들은 모두 폐지되었고 무슨 학과를 나와도 로스쿨은 가능하다고 해서 학과 고민이 무척 됩니다,8
