글쓰기,읽고이해하기,듣고이해하기,말하기,수리력,논리적분석,창의력,범주화,기억력,공간지각력,추리력,학습전략,선택적집중력,모니터링,사람파악,행동조정,설득,협상,가르치기,서비스지향,문제해결,판단과의사결정,시간관리,재정관리,물적자원관리,인적자원관리,기술분석,기술설계,장비선정,설치,전산,품질관리분석,조작및통제,장비의유지,고장의발견.수리,작동점검,조직체계의분석및평가,정교한동작,움직임통제,반응시간과속도,신체적강인성,유연성및균형,시력,청력,knowcode
9.0,8.0,8.0,9.0,6.0,9.0,,9.0,7.0,,7.0,7.0,9.0,7.0,9.0,7.0,7.0,,,9.0,6.0,7.0,8.0,,9.0,,,,10.0,,7.0,9.0,,7.0,7.0,7.0,,7.0,6.0,5.0,5.0,7.0,9.0,7.0,304003
9.0,11.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,7.0,7.0,9.0,6.0,5.0,4.0,4.0,4.0,7.0,4.0,7.0,6.0,6.0,7.0,7.0,6.0,9.0,9.0,8.0,9.0,8.0,221401
7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,7.0,7.0,7.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,7.0,7.0,10.0,7.0,7.0,9.0,7.0,7.0,815001
6.0,9.0,5.0,9.0,7.0,8.0,8.0,6.0,5.0,,5.0,7.0,8.0,5.0,6.0,8.0,7.0,,11.0,7.0,8.0,8.0,8.0,5.0,6.0,,6.0,,5.0,,5.0,,,,,,5.0,6.0,5.0,,6.0,,6.0,3.0,304003
8.0,11.0,9.0,8.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,11.0,9.0,,,9.0,9.0,9.0,11.0,9.0,9.0,9.0,6.0,8.0,,9.0,10.0,9.0,9.0,6.0,7.0,7.0,10.0,10.0,10.0,,8.0,8.0,5.0,8.0,9.0,6.0,5.0,140201
7.0,9.0,11.0,11.0,7.0,10.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,9.0,8.0,,9.0,7.0,7.0,9.0,7.0,,,,,,,9.0,,,,,,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,32201
5.0,8.0,7.0,6.0,7.0,6.0,9.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,6.0,9.0,6.0,8.0,6.0,6.0,6.0,7.0,9.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0,7.0,7.0,835201
,,5.0,,,,8.0,7.0,5.0,,,,7.0,,8.0,,,,,10.0,7.0,,,,9.0,7.0,4.0,,5.0,,,,,,,,,,,,5.0,,,,511201
5.0,7.0,9.0,,,5.0,5.0,5.0,5.0,4.0,4.0,4.0,7.0,5.0,5.0,9.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,9.0,7.0,5.0,9.0,9.0,9.0,9.0,9.0,5.0,12.0,12.0,9.0,12.0,9.0,9.0,12.0,885101
11.0,10.0,11.0,11.0,4.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,11.0,9.0,11.0,11.0,9.0,9.0,7.0,9.0,9.0,11.0,11.0,7.0,4.0,9.0,,,,,,,,,,,9.0,4.0,,8.0,7.0,9.0,9.0,11.0,221401
