Questions,Labels
저는 현재 고등학교 2학년 입니다,1
고등학교 2학년 입니다,1
저는 고등학교 1학년 인데요,1
고등학교 1학년입니다,1
고등학교 2학년입니다,1
저는 현재 고등학교 3학년입니다,1
현재 고등학교 1학년입니다,1
저는 고등학교 1학년입니다,1
저는 고등학교 2학년입니다,1
안녕하세요 고1 학생입니다,1
고2 학생입니다,1
현 고2 학생입니다,1
저는 고3학생입니다,1
고1학생입니다,1
저는 고1 학생입니다,1
저는 경기도 고2 학생입니다,1
이번에 고1 올라간 학생입니다,1
저는 평범한 고1 학생입니다,1
저는 고1 학생 입니다,1
안녕하세요 고3 학생입니다,1
저는 미르 라는 고3 남자 학생입니다,1
이번에 고3으로 올라가는 학생입니다,1
이번에 고1 올라가는 학생입니다,1
현재 고등학교 1학년 학생입니다,1
서울특별시의 고등학교 1학년 학생입니다,1
고등학교 1학년 재학 중인 학생입니다,1
현재 지방 특성화고 경영사무과에 재학 중인 고등학교 2학년 학생입니다,1
고등학교2학년인 학생입니다,1
현재 고등학교 1학년에 재학 중인 학생입니다,1
저는 곧 고등학교 2학년으로 올라가는 학생입니다,1
현재 고등학교 2학년에 재학 중인 학생입니다,1
저는 고등학교 1학년 학생입니다,1
저는 일반공립고등학교 1학년 재학 중인 학생입니다,1
저는 고등학교 2학년 학생입니다,1
고등학교 1학년 재학중인 학생입니다,1
저는 현재 고등학교 2학년을 재학 중인 학생입니다,1
고등학교 1학년 학생입니다,1
현재 고등학교 1학년 재학 중인 학생입니다,1
일반고 재학중인 고등학교 2학년 학생입니다,1
올해 고등학교 1학년인 학생입니다,1
고등학교 2학년인 학생입니다,1
현재 일본어과에 재학중인 고등학교 2학년 학생입니다,1
현재 고등학교 2학년 학생입니다,1
이번에 고등학교 올라가는 학생입니다,1
고등학교 1학년인 학생입니다,1
저는 현재 고등학교 3학년인 학생입니다,1
저는 현재 고등학교 1학년 학생입니다,1
올해 고등학교2학년 학생입니다,1
저는 고등학교2학년 학생입니다,1
저는 고등학교에 재학중인 1학년학생입니다,1
안녕하세요 저는 중학교 2학년 학생입니다,1
저는 중학교 1학년남자학생입니다,1
안녕하세요 중학교 1학년 학생입니다,1
올해 중학교 1학년인 학생입니다,1
저는 삼정자 중학교 2학년 재학중인 학생입니다,1
저는 이번에 중학교 3학년에 올라가는 학생입니다,1
저는 중1 학생 입니다,1
저는 중3 학생입니다,1
예산사는 중3학생입니다,1
저는 중1 학생입니다,1
저는 중1학생입니다,1
중3학생입니다,1
저는 중2 학생입니다,1
저는 중학교 1학년 학생입니다,1
저는 중학교 2학년 학생입니다,1
중학교 1학년 학생입니다,1
중학교 2학년 학생입니다,1
저는 중학교 3학년 장대한 학생입니다,1
저는 중학교2학년 학생입니다,1
2020년 올해 14살 중학교1학년 학생입니다,1
중학교 1학년인 학생입니다,1
저는 중학교 3학년 학생입니다,1
중학교 3학년 학생입니다,1
SH입니다,1
저는 05년생 김민지입니다,1
정승현입니다,1
05년생 입니다,1
윤진입니다,1
이상입니다,1
이윤호입니다,1
입니다 ,1
입니다,1
이승언 입니다,1
저는 최진혁입니다,1
김기태 입니다,1
라는 것 입니다,1
홍지민 입니다,1
조예은 입니다,1
저는 중학교2학년입니다,1
저는 중학교 3학년입니다,1
중학교 3학년인 김태린입니다,1
저는 중학교2학년 입니다,1
저는 중학교 2학년 입니다,1
중학교 2학년 최민렬 입니다,1
저는 중학교 3학년 입니다,1
저는 아직 중학교1학년입니다,1
현재 중학교 3학년 학생입니다,1
저는 중학교 1학년 입니다,1
저는 중학교 1학년입니다,1
고1 입니다,1
고2이혁재입니다,1
고1입니다,1
저는 고1입니다,1
저는 고3입니다,1
고3입니다,1
저는 중1 여학생입니다,1
저는 중3 여학생입니다,1
중1 여학생입니다,1
저는 중 1여학생입니다,1
중3 여학생입니다,1
17살 학생입니다,1
16살 학생입니다,1
저는15살 학생입니다,1
14살 학생입니다,1
16살 학생 입니다,1
저는 18살 학생입니다,1
중학교2학년여학생입니다,1
중학교 1학년 여학생입니다,1
저는 중학교 3학년 여학생입니다,1
저는 중학교 1학년 여학생 입니다,1
중학교 2학년 여학생입니다,1
저는 중학교 1학년 어느한 여학생입니다,1
저는 중학교 2학년 여학생입니다,1
저는 중학교3학년 여학생입니다,1
저는 중학교 1학년 여학생입니다,1
일단 특성화고를 다니고 있는 고2 학생입니다,1
일반고에 다니는 고1 학생입니다,1
저는 인문계를 다니고 있는 고1 학생 입니다,1
저는 일반고에 다니는 고1학생입니다,1
저는 일반고에 다니고 있는 고3 학생입니다,1
평범한 인문계 다니는 고3 학생 입니다,1
저는 이제 예비 고3이 되는 학생입니다,1
이제 고1이 되는 예비 고1입니다,1
이제 고1이 되는 학생입니다,1
저는 이제 고1이된 학생입니다,1
이제 고1이 된 학생입니다,1
저는 이제 고 1이 되는 학생입니다,1
저는 이제 고1이 되는 학생입니다,1
이제 고1되는 학생입니다,1
저는 이제 고3이 되는 학생입니다,1
공부를 잘하는 편도 아닙니다,1
저는 공부를 잘하는 편은 아니에요,1
그런데 제가 공부를 잘하는 편은 아니에요,1
공부를 잘하는편도 다른것에 특출난것도 아니네요,1
공부를 그렇게 못하는 편은 아닙니다,1
공부를 아예 못하는건 아니였습니다,1
저는 15살 중학생입니다,1
저는 14살 여중학생입니다,1
중학생 16살입니다,1
저는 14살 중학생 입니다,1
중1  입니다,1
중2입니다,1
저는 중2 태환이 입니다,1
저는 중2입니다,1
중 14 심세훈입니다,1
저는 중1인데요,1
저는 이제 1학년을 마치고 겨울방학을 보내고 있는 학생입니다,1
예비 고3입니다,1
안녕하세요 이제 고 2 올라가는 학생입니다,1
올해 예비고1 입니다,1
저는 평범한 중학생입니다,1
3번째 마지막 고등학교 입니다,1
이제 곧 고2입니다,1
저는 평범한 인문계 고등학교를 다니는 학생입니다,1
평범한 고등학교 2학년입니다,1
지방에 있는 학교에 다니고 있는 학생입니다 ,1
08년생 여학생입니다,1
현재 중3입니다,1
15살 중2 남학생입니다,1
경영정보과에 다니고 있는 18살 학생입니다,1
저는 고등학생입니다,1
전 평범한 중학교 1학년입니다,1
저는 어느 중학교에 재학중인 평범한 여중생입니다,1
특성화고에 재학중인 고2학생 입니다,1
현재 특성화 고등학교에 재학중인 고등학생 2학년 입니다,1
저는 중학교를 다니는 1학년 학생입니다,1
현재 고등학교 진학 문제로 갈등하고 있는 중학교 3학년 학생입니다,1
특성화고등학교에 다니고 있는 1학년 입니다,1
저는 14살 중학교 1학년 학생입니다,1
현재 전라남도 인문계 고등학교 재학중인 고1입니다,1
성우를 꿈꾸는 학생입니다,1
음 저는 평범한 중3 학생입니다,1
현재 인문고에 다니고있는 고 1 남학생입니다,1
전 중학교 1학년 14살 여학생입니다,1
경북에 거주하고 있는 고2입니다,1
현재 만화가를 꿈꾸는 14살입니다,1
현재 고1인 학생입니다,1
저는 평범한 중학생 입니다,1
고2 남학생이고 내신은 45등급 입니다,1
현재 고3입니다,1
현재 중3학생입니다,1
저는 17살 남자 고등학생입니다,1
17세 학생입니다,1
저는 지금 천안에서 일반고 재학중인 1학년 학생입니다,1
현재 고등학교 1학기가 지나고 2학기를 보내게 된 고등학교 1학년 학생입니다,1
저는 일반 여중에 다니는 중3입니다,1
저는 일반계 고등학교에 다니고 있는 고2 여학생 입니다,1
비평준화 일반고에 재학중인 고1 학생입니다,1
저는 지방에 있는 일반고를 다니고 있는 고1입니다,1
저는 시골에 사는 다문화가정의 고2 여학생입니다,1
고등학생 2학년 경영회계과에 재학중인 학생입니다,1
저는 현재 고등학교에 재학 중인 고1 여학생 입니다 ,1
중학교 2학년 여학생이에요,1
청량중 3학년입니다,1
울산에 사는 중3학생입니다,1
저는 창원중학교에 재학하고 있는 학생입니다,1
저는 중학교 1학년 장동현 입니다,1
인문계 고등학교를 다니는 평범한 고등학생 입니다 ,1
저는 현재 고2 학생이에요,1
저는 19살 입니다,1
저는 중학생입니다,1
저는 고등학교에 재학중인 고2 학생이예요,1
경남에 살고 있는 고1 여학생 입니다,1
저는 평범한 중학교 학생입니다,1
현제 하사관을 꿈꾸는 15살 남학생입니다,1
고등학생에 갓 입학한 1학년입니다,1
현재 중3 여학생입니다,1
현재 고 2입니다,1
저는 현재 경기도에 살고있는 중3입니다,1
저는 현재 고2 남학생입니다,1
현재 중1 입니다,1
저는 이제 막 고등학교에 올라온 고1 일반고 학생입니다,1
특성화고 메카트로닉스과 3학년 재학생입니다,1
14살 중 1 인데요,1
도티님 저는 중1의 중학생유튜버입니다,1
전 남지중학교 2학년입니다,1
저는 공업계 마이스터고에 다니고 있는 학생입니다,1
19살 특성화고에 다니는 학생입니다,1
현재 재학중인 고1 입니다,1
저는 지금 고등학교에 재학중인 학생입니다,1
경북기계공업고등학교에 다니고 있는 1학년 입니다,1
저는 경북기계공업고등학교에 진학 중인 1학년입니다,1
저는 현재 경북기계공업고등학교에 재학중인 1학년 학생입니다,1
저는 고2 여학생입니다,1
마이스터고등학교에 다니는 1학년입니다,1
저는 고등학생 1학년입니다,1
마고 학생입니다,1
현재 경북기계공고를 재학중인 1학년 학생입니다,1
현제 마이스터고에 다니고있는 고딩입니다,1
경북기계공업고등학교에 재학중인 1학년 학생입니다,1
근데 저는 현재 고등학교를 다니고 있는 고1학생입니다,1
